StudentID,OldStudentID,CorrespondenceLanguageCode,CounselorNumber,StudentPersonalEmailAddress,SchoolCode,StudentNumber,StateStudentID,LastName,FirstName,MiddleName,Gender,Grade,GradeLevelShortDescription,GradeLevelLongDescription,Birthdate,ParentGuardianName,HomePhone,StudentMobilePhone,MailingAddress,MailingAddressCity,MailingAddressState,MailingAddressZipCode,ResidenceAddress,ResidenceAddressCity,ResidenceAddressState,ResidenceAddressZipCode,AddressVerified,EthnicityCode,RaceCode1,SchoolEnterDate,SchoolLeaveDate,DistrictEnterDate,AttendanceProgramCodePrimary,LockerNumber,LowSchedulingPeriod,HighSchedulingPeriod,FamilyKey,LanguageFluencyCode,HomeLanguageCode,ParentEdLevelCode,ParentEmailAddress,StudentEmailAddress,NetworkLoginID,EarlyWarningPoints,HomeRoomTeacherNumber,NotificationPreferenceCode,NextSchoolCode,NextGrade,NextGradeLevelShortDescription,NextGradeLevelLongDescription
99400001,0,00,994708,,994,1,9940000001,Abbott,Allan,James,M,12,12,Twelfth Grade,2004-11-11T00:00:00,M/M A Abbott,7775559448,,1118 Glenview Lane,Eagle Rock,CA,99999,1118 Glenview Lane,Eagle Rock,CA,99999,False,N,700,2019-09-05T00:00:00,,2016-09-05T00:00:00,,,0,9,1480,L,01,12,,student@aeries.com,,34.0,0,,0,13,13,Reserved for Graduating Seniors
99400002,0,00,994623,,994,2,9940000002,Abdelnour,Alice,,F,9,9,Ninth Grade,2008-04-13T00:00:00,M/M A Abdelnour,7775552865,,PO Box 90239,Eagle Rock,CA,99999,550 E Claraday #9,Eagle Rock,CA,99999,True,N,700,2018-09-06T00:00:00,,2013-09-06T00:00:00,,,0,9,497,L,11,14,,Alice.Abdelnour@example.com,,25.0,0,,0,10,10,Tenth Grade
99400003,0,00,994623,,994,3,9940000003,Abdo,Alice,A,F,9,9,Ninth Grade,2008-07-21T00:00:00,M/M A Abdo,7775556823,,4475 N Castleview,Eagle Rock,CA,99999,4475 N Castleview,Eagle Rock,CA,99999,False,N,700,2019-08-23T00:00:00,,2013-08-24T00:00:00,,,0,9,1109,E,00,11,,Alice.Abdo@example.com,,25.0,0,,0,10,10,Tenth Grade
99400004,0,00,994723,,994,4,9940000004,Abdo,Arnold,A,M,10,10,Tenth Grade,2006-12-24T00:00:00,M/M A Abdo,7775556823,,4475 N Castleview Ave,Eagle Rock,CA,99999,4475 N Castleview Ave,Eagle Rock,CA,99999,False,N,700,2019-08-23T00:00:00,,2012-08-24T00:00:00,,,0,9,1109,E,00,10,,Arnold.Abdo@example.com,,15.0,0,,0,11,11,Eleventh Grade
99400005,0,00,994708,,994,5,9940000005,Abea,Ayrianna,J,F,12,12,Twelfth Grade,2005-09-05T00:00:00,M/M A Abea,7775557213,,1121 E Durfee,Eagle Rock,CA,99999,1121 E Durfee,Eagle Rock,CA,99999,False,Y,,2016-09-03T00:00:00,,2010-09-05T00:00:00,,,0,9,1166,L,01,11,,Ayrianna.Abea@example.com,,28.0,0,,0,13,13,Reserved for Graduating Seniors
99400006,0,00,994723,,994,6,9940000006,Abejon,Tanya,A,F,10,10,Tenth Grade,2007-02-26T00:00:00,M/M A Abejon,7775556446,,112 W Callaman Dr.,Eagle Rock,CA,99999,112 W Callaman Dr.,Eagle Rock,CA,99999,False,N,400,2015-05-12T00:00:00,,2012-08-09T00:00:00,,,0,9,1056,E,00,10,,Tanya.Abejon@example.com,,33.0,0,,0,11,11,Eleventh Grade
99400007,0,00,994708,,994,7,9940000007,Abesamis,Siobhan,A,F,12,12,Twelfth Grade,2005-09-02T00:00:00,M/M A Abesamis,7775551894,,883 N Banana Ave,Eagle Rock,CA,99999,883 N Banana Ave,Eagle Rock,CA,99999,False,N,400,2016-09-01T00:00:00,,2010-09-01T00:00:00,,,0,9,335,E,00,11,,Siobhan.Abesamis@example.com,,0.0,0,,0,13,13,Reserved for Graduating Seniors
99400008,0,00,994623,,994,8,9940000008,Abesamis,Tatiana,J,F,9,9,Ninth Grade,2007-11-16T00:00:00,M/M A Abesamis,7775551894,,883 N Banana Ave,Eagle Rock,CA,99999,883 N Banana Ave,Eagle Rock,CA,99999,False,N,400,2010-09-02T00:00:00,,2013-08-15T00:00:00,,,2,7,335,E,00,11,,Tatiana.Abesamis@example.com,,42.0,0,,0,10,10,Tenth Grade
99400009,0,00,994929,,994,9,9940000009,Abney,Jessica,Marie,F,12,12,Twelfth Grade,2005-06-23T00:00:00,M/M A Abney,7775556305,,4438 N Lyman Ave,Eagle Rock,CA,99999,4438 N Lyman Ave,Eagle Rock,CA,99999,False,Y,700,2019-09-02T00:00:00,,2010-06-23T00:00:00,,,0,9,1361,I,01,12,,Jessica.Abney@example.com,,0.0,0,,0,13,13,Reserved for Graduating Seniors
99400010,0,00,0,,994,10,9940000010,Abo,Kyle,,M,8,8,Eighth Grade,2010-07-29T00:00:00,M/M A Abo,7775554262,,221 E Arrow Hwy Spc 31,Eagle Rock,CA,99999,221 E Arrow Hwy Spc 31,Eagle Rock,CA,99999,False,Y,100,2023-08-03T00:00:00,,2016-09-08T00:00:00,,,0,9,0,E,00,13,,Kyle.Abo@example.com,,0.0,0,,999,9,9,Ninth Grade
